,Course,Education Level,Institutions,Year,GE (%)
2513,IJAZAH SARJANA MUDA KEJURUTERAAN DENGAN KEPUJIAN (KEJURUTERAAN KIMIA),Ijazah pertama,UNIVERSITI MALAYSIA SARAWAK,2022,83.7
2514,IJAZAH SARJANA MUDA SAINS KEMANUSIAAN (PSIKOLOGI) (KEPUJIAN),Ijazah pertama,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,83.7
2515,SARJANA MUDA KOMUNIKASI (KEPUJIAN),Ijazah pertama,UNIVERSITI SAINS MALAYSIA,2022,83.7
2516,SARJANA MUDA UNDANG-UNDANG,Ijazah pertama,UNIVERSITI MALAYA,2022,83.7
2517,SARJANA MUDA PENTADBIRAN PERNIAGAAN (KEPUJIAN) PEMASARAN,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,83.4
2518,DOKTOR FALSAFAH (KEJURUTERAAN MEKANIK & BAHAN),PhD,UNIVERSITI KEBANGSAAN MALAYSIA,2022,83.3
2519,DOKTOR FALSAFAH (KEJURUTERAAN MEKANIKAL),PhD,UNIVERSITI TEKNOLOGI MARA,2022,83.3
2520,DOKTOR PENTADBIRAN PERNIAGAAN,PhD,UNIVERSITI UTARA MALAYSIA,2022,83.3
2521,IJAZAH SARJANA MUDA SENI GUNAAN DENGAN KEPUJIAN (SINEMATOGRAFI),Ijazah pertama,UNIVERSITI MALAYSIA SARAWAK,2022,83.3
2522,SARJANA FALSAFAH,Sarjana,UNIVERSITI MALAYA,2022,83.3
2523,SARJANA MUDA PENGURUSAN INDUSTRI KREATIF (KEPUJIAN) PENGURUSAN SENI,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,83.3
2524,SARJANA MUDA PENTADBIRAN PERNIAGAAN (KEPUJIAN) (KEWANGAN),Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,83.3
2525,SARJANA MUDA PENTADBIRAN PERNIAGAAN (KEPUJIAN) PENGURUSAN PERUNCITAN,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,83.3
2526,SARJANA MUDA SAINS (KEPUJIAN) MATEMATIK PENGKOMPUTERAN,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,83.3
2527,SARJANA MUDA SAINS KEJURURAWATAN,Ijazah pertama,UNIVERSITI MALAYA,2022,83.3
2528,SARJANA MUDA SAINS MAKLUMAT (KEPUJIAN) PENGURUSAN SISTEM MAKLUMAT,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,83.3
2529,SARJANA MUDA SENI HALUS (KEPUJIAN) (LAKONAN DAN PENGARAHAN),Ijazah pertama,UNIVERSITI SAINS MALAYSIA,2022,83.3
2530,SARJANA PENGAJIAN STRATEGIK DAN PERTAHANAN,Sarjana,UNIVERSITI MALAYA,2022,83.3
2531,SARJANA PENGURUSAN ASET DAN FASILITI,Sarjana,UNIVERSITI TEKNOLOGI MALAYSIA,2022,83.3
2532,SARJANA SAINS (INFRASTRUKTUR LESTARI),Sarjana,UNIVERSITI TEKNOLOGI MALAYSIA,2022,83.3
2533,SARJANA SAINS (KEJURUTERAAN ALAM SEKITAR),Sarjana,UNIVERSITI SAINS MALAYSIA,2022,83.3
2534,SARJANA SAINS (KIMIA),Sarjana,UNIVERSITI SAINS MALAYSIA,2022,83.3
2535,SARJANA SAINS (PENGURUSAN),Sarjana,UNIVERSITI UTARA MALAYSIA,2022,83.3
